epoch,train_loss,val_loss
0,0.9781693333897102,0.8897172641474288
1,0.9347829862089639,0.885339317644214
2,0.9281489989972591,0.8775830656200737
3,0.925344267481945,0.8762671570409905
4,0.923981927025054,0.8756681090438521
5,0.922350910970111,0.8746930416357088
6,0.9210213468492626,0.8779820451860899
7,0.9203316834563396,0.8830504092600915
8,0.9195122124838844,0.8759378010740171
9,0.9185631130313903,0.8779931849987059
10,0.9176909000853474,0.8752799358267289
11,0.9168092939486441,0.8731077028946443
12,0.9155464868671662,0.8726245587120404
13,0.9143300527071908,0.8753448649347721
14,0.9136971389932951,0.8752430630373311
15,0.9122759790753902,0.8774791530721433
16,0.9107796808167566,0.8780363456724765
17,0.9093937552600317,0.8789587465452624
18,0.9094111443812333,0.8805562771566502
19,0.9047185942009742,0.8794635528331989
20,0.9046305583220222,0.8777250908352398
21,0.9026091921911779,0.8840080885799019
22,0.8991822808078687,0.8881056487158343
23,0.8958543255869369,0.887358018315279
24,0.8904533683165405,0.8998797334485001
25,0.8860650127876861,0.9009945863387087
26,0.8844374390223648,0.8862030425897012
27,0.8803844478609187,0.9015080051256584
28,0.8707459877232339,0.9260504197675389
29,0.8651576800404417,0.9170794186668916
30,0.8625534947296505,0.9135904769886742
31,0.8578251720200317,0.9287035092041567
32,0.8518409462010815,0.8994407474726707
test,0.6972529876232147
