epoch,train_loss,val_loss
0,12.349499150326377,19.42623805999756
1,12.33176080804122,19.427733421325684
2,12.30786903280961,19.452001571655273
3,12.212293348814311,19.569252967834473
4,12.152530582327591,19.450228691101074
5,12.058826082631162,19.974108695983887
6,11.7862826272061,19.940178871154785
7,11.536243162657085,20.792014122009277
8,11.306779259129575,20.101362228393555
9,10.404290538085135,22.680508613586426
10,9.390565320065146,21.26797389984131
11,9.238383368441934,22.267319679260254
12,9.326233826185527,21.77171230316162
13,7.621828631350868,22.25490093231201
14,6.978802630775853,22.534001350402832
15,5.782328718586972,22.31381893157959
16,4.198159205286126,25.292272567749023
17,4.468038596605,23.701319694519043
18,3.7747833226856433,24.786636352539062
19,3.0191560418982255,23.498461723327637
20,3.3243899470881413,22.25178050994873
test,4.9004140987115745
